Area,Year,Avg_house_price
Unnamed: 37,2015,
Unnamed: 37,2016,
Unnamed: 37,2017,
Unnamed: 37,2018,
Unnamed: 37,2019,
Unnamed: 37,2020,
Unnamed: 47,2012,
Unnamed: 47,2013,
Unnamed: 47,2014,
Unnamed: 47,2015,
Unnamed: 47,2016,
Unnamed: 47,2017,
Unnamed: 47,2018,
Unnamed: 47,2019,
Unnamed: 47,2020,
WEST MIDLANDS,2012,139801.0
WEST MIDLANDS,2013,142526.08333333334
WEST MIDLANDS,2014,150337.0
WEST MIDLANDS,2015,157554.91666666666
WEST MIDLANDS,2016,167809.0
WEST MIDLANDS,2017,177159.91666666666
WEST MIDLANDS,2018,185871.08333333334
WEST MIDLANDS,2019,189435.41666666666
WEST MIDLANDS,2020,195164.58333333334
Waltham Forest,2012,238236.25
Waltham Forest,2013,262541.0833333333
Waltham Forest,2014,325185.0
Waltham Forest,2015,369149.9166666667
Waltham Forest,2016,426596.5
Waltham Forest,2017,450311.25
Waltham Forest,2018,455237.75
Waltham Forest,2019,444747.25
Waltham Forest,2020,465919.3333333333
Wandsworth,2012,469708.25
Wandsworth,2013,524793.9166666666
Wandsworth,2014,624738.9166666666
Wandsworth,2015,657066.3333333334
Wandsworth,2016,698427.3333333334
Wandsworth,2017,708960.4166666666
Wandsworth,2018,684534.75
Wandsworth,2019,674533.4166666666
Wandsworth,2020,700042.0833333334
Westminster,2012,740891.5
Westminster,2013,839807.8333333334
Westminster,2014,980910.9166666666
Westminster,2015,1025497.5
Westminster,2016,1058347.0833333333
Westminster,2017,1131942.75
Westminster,2018,1084204.5833333333
Westminster,2019,1013009.1666666666
Westminster,2020,1022381.4166666666
YORKS & THE HUMBER,2012,121940.0
YORKS & THE HUMBER,2013,122567.75
YORKS & THE HUMBER,2014,128395.75
YORKS & THE HUMBER,2015,133532.83333333334
YORKS & THE HUMBER,2016,140258.83333333334
YORKS & THE HUMBER,2017,145722.0
YORKS & THE HUMBER,2018,150530.33333333334
YORKS & THE HUMBER,2019,153801.08333333334
YORKS & THE HUMBER,2020,159281.0
