Haringey,Vehicle Offences,4636,3563,3142,2851,3416,4131,4762,5496,5453
Haringey,Violence Against the Person,5604,3957,5326,6367,7124,7543,7859,7621,8252
Harrow,Arson and Criminal Damage,1401,1125,1150,1142,1166,1097,1045,1092,1065
Harrow,Burglary,2719,2106,1837,1670,1995,2046,1936,2048,1459
Harrow,Drug Offences,957,909,951,629,481,538,592,813,1229
Harrow,Historical Fraud and Forgery,647,90,0,0,0,0,0,0,0
Harrow,Miscellaneous Crimes Against Society,201,143,146,165,228,177,191,198,278
Harrow,Possession of Weapons,89,57,62,81,69,118,102,93,131
Harrow,Public Order Offences,576,475,566,655,616,707,888,921,1129
Harrow,Robbery,755,514,315,315,382,318,373,638,554
Harrow,Sexual Offences,274,222,260,261,312,346,363,456,437
Harrow,Theft,2993,2476,2524,2836,3017,2700,3098,3566,2596
Harrow,Vehicle Offences,2359,1669,1486,1624,1581,1936,2023,2871,3211
Harrow,Violence Against the Person,3410,2658,3006,3615,3771,3978,4296,4693,5097
Havering,Arson and Criminal Damage,1740,1468,1527,1617,1756,1794,1446,1350,1229
Havering,Burglary,3035,2480,2123,1943,1833,2253,1961,1886,1407
Havering,Drug Offences,1286,1028,762,732,742,533,549,752,1304
Havering,Historical Fraud and Forgery,489,39,0,0,0,0,0,0,0
Havering,Miscellaneous Crimes Against Society,221,169,190,217,269,297,245,276,307
Havering,Possession of Weapons,108,92,88,93,113,144,177,167,147
Havering,Public Order Offences,744,620,745,937,1025,1075,1101,1119,1264
Havering,Robbery,500,291,291,320,319,630,676,688,435
Havering,Sexual Offences,264,203,497,385,364,475,448,478,478
Havering,Theft,4330,3701,3684,3801,3946,4088,3819,4028,3395
Havering,Vehicle Offences,3108,2632,2094,2093,2037,2617,2915,2997,2678
Havering,Violence Against the Person,3646,2760,3347,4249,5093,5066,5375,5469,5529
Hillingdon,Arson and Criminal Damage,2450,2077,2287,2194,2347,2535,2056,2235,2007
Hillingdon,Burglary,3680,2862,2679,2212,2228,2356,2053,2777,2058
Hillingdon,Drug Offences,1392,997,914,1077,1029,789,923,1350,1916
Hillingdon,Historical Fraud and Forgery,761,51,0,0,0,0,0,0,0
Hillingdon,Miscellaneous Crimes Against Society,266,229,239,290,351,313,291,325,492
Hillingdon,Possession of Weapons,99,93,78,101,111,167,203,171,216
Hillingdon,Public Order Offences,1079,842,1282,1406,1482,1553,1594,1653,2002
Hillingdon,Robbery,922,558,508,326,430,525,577,817,562
Hillingdon,Sexual Offences,324,291,408,427,466,564,533,487,533
Hillingdon,Theft,5237,4479,4807,5140,5069,5299,5449,5641,4583
